"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Planar Binding","PHB'24","305","5th","1 Hr.","24 hours","Abjuration","60 feet","V, S, M (a jewel worth 1,000+ GP, which the spell consumes)","Bard, Cleric, Druid, Warlock, Wizard","","You attempt to bind a Celestial, an Elemental, a Fey, or a Fiend to your service. The creature must be within range for the entire casting of the spell. (Typically, the creature is first summoned into the center of the inverted version of the Magic Circle spell to trap it while this spell is cast.) At the completion of the casting, the target must succeed on a Charisma saving throw or be bound to serve you for the duration. If the creature was summoned or created by another spell, that spell's duration is extended to match the duration of this spell.A bound creature must follow your commands to the best of its ability. You might command the creature to accompany you on an adventure, to guard a location, or to deliver a message. If the creature is Hostile, it strives to twist your commands to achieve its own objectives. If the creature carries out your commands completely before the spell ends, it travels to you to report this fact if you are on the same plane of existence. If you are on a different plane, it returns to the place where you bound it and remains there until the spell ends."," Using a Higher-Level Spell Slot. The duration increases with a spell slot of level 6 (10 days), 7 (30 days), 8 (180 days), and 9 (366 days)."
"Plane Shift","PHB'24","305","7th","Action","Instantaneous","Conjuration","Touch","V, S, M (a forked, metal rod worth 250+ GP and attuned to a plane of existence)","Cleric, Druid, Sorcerer, Warlock, Wizard","","You and up to eight willing creatures who link hands in a circle are transported to a different plane of existence. You can specify a target destination in general terms, such as the City of Brass on the Elemental Plane of Fire or the palace of Dispater on the second level of the Nine Hells, and you appear in or near that destination, as determined by the DM.Alternatively, if you know the sigil sequence of a teleportation circle on another plane of existence, this spell can take you to that circle. If the teleportation circle is too small to hold all the creatures you transported, they appear in the closest unoccupied spaces next to the circle.",""
"Plant Growth","PHB'24","305","3rd","Action","Instantaneous","Transmutation","150 feet","V, S","Bard, Druid, Ranger","","This spell channels vitality into plants. The casting time you use determines whether the spell has the Overgrowth or the Enrichment effect below. Overgrowth. Choose a point within range. All normal plants in a 100-foot-radius Sphere centered on that point become thick and overgrown. A creature moving through that area must spend 4 feet of movement for every 1 foot it moves. You can exclude one or more areas of any size within the spell's area from being affected. Enrichment. All plants in a half-mile radius centered on a point within range become enriched for 365 days. The plants yield twice the normal amount of food when harvested. They can benefit from only one Plant Growth per year.",""
"Poison Spray","PHB'24","306","Cantrip","Action","Instantaneous","Necromancy","30 feet","V, S","Artificer, Druid, Sorcerer, Warlock, Wizard","","You spray toxic mist at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d12 Poison damage."," Cantrip Upgrade. The damage increases by 1d12 when you reach levels 5 (2d12), 11 (3d12), and 17 (4d12)."
"Power Word Kill","PHB'24","306","9th","Action","Instantaneous","Enchantment","60 feet","V","Bard, Sorcerer, Warlock, Wizard","","You compel one creature you can see within range to die. If the target has 100 Hit Points or fewer, it dies. Otherwise, it takes 12d12 Psychic damage.",""
"Power Word Stun","PHB'24","306","8th","Action","Instantaneous","Enchantment","60 feet","V","Bard, Sorcerer, Warlock, Wizard","","You overwhelm the mind of one creature you can see within range. If the target has 150 Hit Points or fewer, it has the Stunned condition. Otherwise, its Speed is 0 until the start of your next turn.The Stunned target makes a Constitution saving throw at the end of each of its turns, ending the condition on itself on a success.",""
"Prestidigitation","PHB'24","307","Cantrip","Action","1 hour","Transmutation","10 feet","V, S","Artificer, Bard, Sorcerer, Warlock, Wizard","","You create a magical effect within range. Choose the effect from the options below. If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time. Sensory Effect. You create an instantaneous, harmless sensory effect, such as a shower of sparks, a puff of wind, faint musical notes, or an odd odor. Fire Play. You instantaneously light or snuff out a candle, a torch, or a small campfire. Clean or Soil. You instantaneously clean or soil an object no larger than 1 cubic foot. Minor Sensation. You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour. Magic Mark. You make a color, a small mark, or a symbol appear on an object or a surface for 1 hour. Minor Creation. You create a nonmagical trinket or an illusory image that can fit in your hand. It lasts until the end of your next turn. A trinket can deal no damage and has no monetary worth.",""
"Protection from Evil and Good","PHB'24","309","1st","Action","Concentration, up to 10 minutes","Abjuration","Touch","V, S, M (a flask of Holy Water worth 25+ GP, which the spell consumes)","Cleric, Druid, Paladin, Warlock, Wizard","","Until the spell ends, one willing creature you touch is protected against creatures that are Aberrations, Celestials, Elementals, Fey, Fiends, or Undead. The protection grants several benefits. Creatures of those types have Disadvantage on attack rolls against the target. The target also can't be possessed by or gain the Charmed or Frightened conditions from them. If the target is already possessed, Charmed, or Frightened by such a creature, the target has Advantage on any new saving throw against the relevant effect.",""
"Ray of Enfeeblement","PHB'24","311","2nd","Action","Concentration, up to 1 minute","Necromancy","60 feet","V, S","Warlock, Wizard","","A beam of enervating energy shoots from you toward a creature within range. The target must make a Constitution saving throw. On a successful save, the target has Disadvantage on the next attack roll it makes until the start of your next turn.On a failed save, the target has Disadvantage on Strength-based D20 Tests for the duration. During that time, it also subtracts 1d8 from all its damage rolls. The target repeats the save at the end of each of its turns, ending the spell on a success.",""
"Remove Curse","PHB'24","312","3rd","Action","Instantaneous","Abjuration","Touch","V, S","Cleric, Paladin, Warlock, Wizard","","At your touch, all curses affecting one creature or object end. If the object is a cursed magic item, its curse remains, but the spell breaks its owner's Attunement to the object so it can be removed or discarded.",""
"Scrying","PHB'24","314","5th","10 Min.","Concentration, up to 10 minutes","Divination","Self","V, S, M (a focus worth 1,000+ GP, such as a crystal ball, mirror, or water-filled font)","Bard, Cleric, Druid, Warlock, Wizard","","You can see and hear a creature you choose that is on the same plane of existence as you. The target makes a Wisdom saving throw, which is modified (see the tables below) by how well you know the target and the sort of physical connection you have to it. The target doesn't know what it is making the save against, only that it feels uneasy.Your Knowledge of the Target Is...Save ModifierSecondhand (heard of the target)+5Firsthand (met the target)+0Extensive (know the target well)-5You Have the Target's...Save ModifierPicture or other likeness-2Garment or other possession-4Body part, lock of hair, or bit of nail-10On a successful save, the target isn't affected, and you can't use this spell on it again for 24 hours.On a failed save, the spell creates an Invisible, intangible sensor within 10 feet of the target. You can see and hear through the sensor as if you were there. The sensor moves with the target, remaining within 10 feet of it for the duration. If something can see the sensor, it appears as a luminous orb about the size of your fist.Instead of targeting a creature, you can target a location you have seen. When you do so, the sensor appears at that location and doesn't move.",""
"Seeming","PHB'24","314","5th","Action","8 hours","Illusion","30 feet","V, S","Bard, Sorcerer, Wizard","","You give an illusory appearance to each creature of your choice that you can see within range. An unwilling target can make a Charisma saving throw, and if it succeeds, it is unaffected by this spell.You can give the same appearance or different ones to the targets. The spell can change the appearance of the targets' bodies and equipment. You can make each creature seem 1 foot shorter or taller and appear heavier or lighter. A target's new appearance must have the same basic arrangement of limbs as the target, but the extent of the illusion is otherwise up to you. The spell lasts for the duration.The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to a creature's outfit, objects pass through the hat.A creature that takes the Study action to examine a target can make an Intelligence (Investigation) check against your spell save DC. If it succeeds, it becomes aware that the target is disguised.",""
"Sleep","PHB'24","317","1st","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S, M (a pinch of sand or rose petals)","Bard, Sorcerer, Wizard","","Each creature of your choice in a 5-foot-radius Sphere centered on a point within range must succeed on a Wisdom saving throw or have the Incapacitated condition until the end of its next turn, at which point it must repeat the save. If the target fails the second save, the target has the Unconscious condition for the duration. The spell ends on a target if it takes damage or someone within 5 feet of it takes an action to shake it out of the spell's effect.Creatures that don't sleep, such as elves, or that have Immunity to the Exhaustion condition automatically succeed on saves against this spell.",""
"Speak with Animals","PHB'24","318","1st","Action","10 minutes","Divination (ritual)","Self","V, S","Bard, Druid, Ranger, Warlock","","For the duration, you can comprehend and verbally communicate with Beasts, and you can use any of the Influence action's skill options with them.Most Beasts have little to say about topics that don't pertain to survival or companionship, but at minimum, a Beast can give you information about nearby locations and monsters, including whatever it has perceived within the past day.",""
"Spider Climb","PHB'24","318","2nd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S, M (a drop of bitumen and a spider)","Artificer, Sorcerer, Warlock, Wizard","","Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and along ceilings, while leaving its hands free. The target also gains a Climb Speed equal to its Speed."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level about 2."
"Suggestion","PHB'24","320","2nd","Action","Concentration, up to 8 hours","Enchantment","30 feet","V, M (a drop of honey)","Bard, Sorcerer, Warlock, Wizard","","You suggest a course of activity—described in no more than 25 words—to one creature you can see within range that can hear and understand you. The suggestion must sound achievable and not involve anything that would obviously deal damage to the target or it allies. For example, you could say, ""Fetch the key to the cult's treasure vault, and give the key to me."" Or you could say, ""Stop fighting, leave this library peacefully, and don't return.""The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration or until you or your allies deal damage to the target. The Charmed target pursues the suggestion to the best of its ability. The suggested activity can continue for the entire duration, but if the suggested activity can be completed in a shorter time, the spell ends for the target upon completing it.",""
"Summon Aberration","PHB'24","322","4th","Action","Concentration, up to 1 hour","Conjuration","90 feet","V, S, M (a pickled tentacle and an eyeball in a platinum-inlaid vial worth 400+ GP)","Warlock, Wizard","","You call forth an aberrant spirit. It manifests in an unoccupied space that you can see within range and uses the Aberrant Spirit stat block. When you cast the spell, choose Beholderkin, Mind Flayer, or Slaad. The creature resembles an Aberration of that kind, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, it shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger."," Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block."
"Summon Fey","PHB'24","326","3rd","Action","Concentration, up to 1 hour","Conjuration","90 feet","V, S, M (a gilded flower worth 300+ GP)","Druid, Ranger, Warlock, Wizard","","You call forth a Fey spirit. It manifests in an unoccupied space that you can see within range and uses the Fey Spirit stat block. When you cast the spell, choose a mood: Fuming, Mirthful, or Tricksy. The creature resembles a Fey creature of your choice marked by the chosen mood, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger."," Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block."
"Summon Fiend","PHB'24","326","6th","Action","Concentration, up to 1 hour","Conjuration","90 feet","V, S, M (a bloody vial worth 600+ GP)","Warlock, Wizard","","You call forth a fiendish spirit. It manifests in an unoccupied space that you can see within range and uses the Fiendish Spirit stat block. When you cast the spell, choose Demon, Devil, or Yugoloth. The creature resembles a Fiend of the chosen type, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger."," Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block."
"Summon Undead","PHB'24","328","3rd","Action","Concentration, up to 1 hour","Necromancy","90 feet","V, S, M (a gilded skull worth 300+ GP)","Warlock, Wizard","","You call forth an Undead spirit. It manifests in an unoccupied space that you can see within range and uses the Undead Spirit stat block. When you cast the spell, choose the creature's form: Ghostly, Putrid, or Skeletal. The spirit resembles an Undead creature with the chosen form, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger."," Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block."
"Synaptic Static","PHB'24","330","5th","Action","Instantaneous","Enchantment","120 feet","V, S","Bard, Sorcerer, Warlock, Wizard","","You cause psychic energy to erupt at a point within range. Each creature in a 20-foot-radius Sphere centered on that point makes an Intelligence saving throw, taking 8d6 Psychic damage on a failed save or half as much damage on a successful one.On a failed save, a target also has muddled thoughts for 1 minute. During that time, it subtracts 1d6 from all its attack rolls and ability checks, as well as any Constitution saving throws to maintain Concentration. The target makes an Intelligence saving throw at the end of each of its turns, ending the effect on itself on a success.",""
"Tasha's Bubbling Cauldron","PHB'24","330","6th","Action","10 minutes","Conjuration","5 feet","V, S, M (a gilded ladle worth 500 + GP)","Warlock, Wizard","","You conjure a claw-footed cauldron filled with bubbling liquid. The cauldron appears in an unoccupied space on the ground within 5 feet of you and lasts for the duration. The cauldron can't be moved and disappears when the spell ends, along with the bubbling liquid inside it.The liquid in the cauldron duplicates the properties of a Common or an Uncommon potion of your choice (such as a Potion of Healing). As a Bonus Action, you or an ally can reach into the cauldron and withdraw one potion of that kind. The potion is contained in a vial that disappears when the potion is consumed. The cauldron can produce a number of these potions equal to your spellcasting ability modifier (minimum 1). When the last of these potions is withdrawn from the cauldron, the cauldron disappears, and the spell ends.Potions obtained from the cauldron that aren't consumed disappear when you cast this spell again.",""
"Tasha's Hideous Laughter","PHB'24","331","1st","Action","Concentration, up to 1 minute","Enchantment","30 feet","V, S, M (a tart and a feather)","Bard, Warlock, Wizard","","One creature of your choice that you can see within range makes a Wisdom saving throw. On a failed save, it has the Prone and Incapacitated conditions for the duration. During that time, it laughs uncontrollably if it's capable of laughter, and it can't end the Prone condition on itself.At the end of each of its turns and each time it takes damage, it makes another Wisdom saving throw. The target has Advantage on the save if the save is triggered by damage. On a successful save, the spell ends."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level about 1."
"Teleportation Circle","PHB'24","332","5th","1 Min.","1 round","Conjuration","10 feet","V, M (rare inks worth 50+ GP, which the spell consumes)","Bard, Sorcerer, Warlock, Wizard","","As you cast the spell, you draw a 5-foot-radius circle on the ground inscribed with sigils that link your location to a permanent teleportation circle of your choice whose sigil sequence you know and that is on the same plane of existence as you. A shimmering portal opens within the circle you drew and remains open until the end of your next turn. Any creature that enters the portal instantly appears within 5 feet of the destination circle or in the nearest unoccupied space if that space is occupied.Many major temples, guildhalls, and other important places have permanent teleportation circles. Each circle includes a unique sigil sequence—a string of runes arranged in a particular pattern.When you first gain the ability to cast this spell, you learn the sigil sequences for two destinations on the Material Plane, determined by the DM. You might learn additional sigil sequences during your adventures. You can commit a new sigil sequence to memory after studying it for 1 minute.You can create a permanent teleportation circle by casting this spell in the same location every day for 365 days.",""
"Thunderclap","PHB'24","333","Cantrip","Action","Instantaneous","Evocation","Self (5-foot emanation)","S","Artificer, Bard, Druid, Sorcerer, Warlock, Wizard","","Each creature in a 5-foot Emanation originating from you must succeed on a Constitution saving throw or take 1d6 Thunder damage. The spell's thunderous sound can be heard up to 100 feet away."," Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6)."
"Toll the Dead","PHB'24","334","Cantrip","Action","Instantaneous","Necromancy","60 feet","V, S","Cleric, Warlock, Wizard","","You point at one creature you can see within range, and the single chime of a dolorous bell is audible within 10 feet of the target. The target must succeed on a Wisdom saving throw or take 1d8 Necrotic damage. If the target is missing any of its Hit Points, it instead takes 1d12 Necrotic damage."," Cantrip Upgrade. The damage increases by one die when you reach levels 5 (2d8 or 2d12), 11 (3d8 or 3d12), and 17 (4d8 or 4d12)."
"Tongues","PHB'24","334","3rd","Action","1 hour","Divination","Touch","V, M (a miniature ziggurat)","Bard, Cleric, Sorcerer, Warlock, Wizard","","This spell grants the creature you touch the ability to understand any spoken or signed language that it hears or sees. Moreover, when the target communicates by speaking or signing, any creature that knows at least one language can understand it if that creature can hear the speech or see the signing.",""
"True Polymorph","PHB'24","335","9th","Action","Concentration, up to 1 hour","Transmutation","30 feet","V, S, M (a drop of mercury, a dollop of gum arabic, and a wisp of smoke)","Bard, Warlock, Wizard","","Choose one creature or nonmagical object that you can see within range. The creature shape-shifts into a different creature or a nonmagical object, or the object shape-shifts into a creature (the object must be neither worn nor carried). The transformation lasts for the duration or until the target dies or is destroyed, but if you maintain Concentration on this spell for the full duration, the spell lasts until dispelled.An unwilling creature can make a Wisdom saving throw, and if it succeeds, it isn't affected by this spell. Creature into Creature. If you turn a creature into another kind of creature, the new form can be any kind you choose that has a Challenge Rating equal to or less than the target's Challenge Rating or level. The target's game statistics are replaced by the stat block of the new form, but it retains its Hit Points, Hit Point Dice, alignment, and personality.The target gains a number of Temporary Hit Points equal to the Hit Points of the new form. The spell ends early on the target if it has no Temporary Hit Points left.The target is limited in the actions it can perform by the anatomy of its new form, and it can't speak or cast spells.The target's gear melds into the new form. The creature can't use or otherwise benefit from any of that equipment. Object into Creature. You can turn an object into any kind of creature, as long as the creature's size is no larger than the object's size and the creature has a Challenge Rating of 9 or lower. The creature is Friendly to you and your allies. In combat, it takes its turns immediately after yours, and it obeys your commands.If the spell lasts more than an hour, you no longer control the creature. It might remain Friendly to you, depending on how you have treated it. Creature into Object. If you turn a creature into an object, it transforms along with whatever it is wearing and carrying into that form, as long as the object's size is no larger than the creature's size. The creature's statistics become those of the object, and the creature has no memory of time spent in this form after the spell ends and it returns to normal.",""
"True Seeing","PHB'24","336","6th","Action","1 hour","Divination","Touch","V, S, M (mushroom powder worth 25+ GP, which the spell consumes)","Bard, Cleric, Sorcerer, Warlock, Wizard","","For the duration, the willing creature you touch has Truesight with a range of 120 feet.",""
"True Strike","PHB'24","336","Cantrip","Action","Instantaneous","Divination","Self","S, M (a weapon with which you have proficiency and that is worth 1+ CP)","Bard, Sorcerer, Warlock, Wizard","","Guided by a flash of magical insight, you make one attack with the weapon used in the spell's casting. The attack uses your spellcasting ability for the attack and damage rolls instead of using Strength or Dexterity. If the attack deals damage, it can be Radiant damage or the weapon's normal damage type (your choice)."," Cantrip Upgrade. Whether you deal Radiant damage or the weapon's normal damage type, the attack deals extra Radiant damage when you reach levels 5 (1d6), 11 (2d6), and 17 (3d6)."
"Unseen Servant","PHB'24","336","1st","Action","1 hour","Conjuration (ritual)","60 feet","V, S, M (a bit of string and of wood)","Bard, Warlock, Wizard","","This spell creates an Invisible, mindless, shapeless, Medium force that performs simple tasks at your command until the spell ends. The servant springs into existence in an unoccupied space on the ground within range. It has AC 10, 1 Hit Point, and a Strength of 2, and it can't attack. If it drops to 0 Hit Points, the spell ends.Once on each of your turns as a Bonus Action, you can mentally command the servant to move up to 15 feet and interact with an object. The servant can perform simple tasks that a human could do, such as fetching things, cleaning, mending, folding clothes, lighting fires, serving food, and pouring drinks. Once you give the command, the servant performs the task to the best of its ability until it completes the task, then waits for your next command.If you command the servant to perform a task that would move it more than 60 feet away from you, the spell ends.",""
"Vampiric Touch","PHB'24","337","3rd","Action","Concentration, up to 1 minute","Necromancy","Self","V, S","Sorcerer, Warlock, Wizard","","The touch of your shadow-wreathed hand can siphon life force from others to heal your wounds. Make a melee spell attack against one creature within reach. On a hit, the target takes 3d6 Necrotic damage, and you regain Hit Points equal to half the amount of Necrotic damage dealt.Until the spell ends, you can make the attack again on each of your turns as a Magic action, targeting the same creature or a different one."," Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3."
"Weird","PHB'24","341","9th","Action","Concentration, up to 1 minute","Illusion","120 feet","V, S","Warlock, Wizard","","You try to create illusory terrors in others' minds. Each creature of your choice in a 30-foot-radius Sphere centered on a point within range makes a Wisdom saving throw. On a failed save, a target takes 10d10 Psychic damage and has the Frightened condition for the duration. On a successful save, a target takes half as much damage only.A Frightened target makes a Wisdom saving throw at the end of each of its turns. On a failed save, it takes 5d10 Psychic damage. On a successful save, the spell ends on that target.",""
"Witch Bolt","PHB'24","343","1st","Action","Concentration, up to 1 minute","Evocation","60 feet","V, S, M (a twig struck by lightning)","Sorcerer, Warlock, Wizard","","A beam of crackling energy lances toward a creature within range, forming a sustained arc of lightning between you and the target. Make a ranged spell attack against it. On a hit, the target takes 2d12 Lightning damage.On each of your subsequent turns, you can take a Bonus Action to deal 1d12 Lightning damage to the target automatically, even if the first attack missed.The spell ends if the target is ever outside the spell's range or if it has Total Cover from you."," Using a Higher-Level Spell Slot. The initial damage increases by 1d12 for each spell slot level above 1."